# MediaDive authoritative collection table
# source: https://mediadive.dsmz.de/rest/media (fetched 2026-09-06, HTTP 200, 3339 rows)
# MediaDive aggregates recipes published by several culture collections. `collection`
# is MediaDive's own `source` field - NOT derived from the link host (mediadive C110
# links to atcc.org but MediaDive classifies it CCAP, and 73 on-disk records have a
# synthesised fallback URL whose host says nothing).
mediadive_id	collection	upstream_link	upstream_name
1081	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1081.pdf	HORIKOSHI-1 MEDIUM
1081a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1081a.pdf	HORIKOSHI-1 MEDIUM WITH 10% NaCl
1082	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1082.pdf	AMINIPHILUS MEDIUM
1083	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1083.pdf	ACIDULIPROFUNDUM MEDIUM
1084	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1084.pdf	METHERMICOCCUS (METHANOGEN) MEDIUM
1085	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1085.pdf	HOWARDELLA MEDIUM
1086	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1086.pdf	DESULFATIRHABDIUM MEDIUM
1087	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1087.pdf	MANNITOL-YEAST EXTRACT-PEPTONE (MYP)
109	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium109.pdf	RHODOPSEUDOMONAS SULFOVIRIDIS MEDIUM
1090	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1090.pdf	PYROBACULUM CALIDIFONTIS MEDIUM
1091	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1091.pdf	HALOQUADRATUM WALSBYI MEDIUM
1092	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1092.pdf	THERMOSULFIDIBACTER MEDIUM
1094	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1094.pdf	METHANOSPHAERULA (PEAT) MEDIUM
1095	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1095.pdf	NATRANAEROBIUS MEDIUM
1096	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1096.pdf	UREAPLASMA MEDIUM
1097	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1097.pdf	SULFUROSPIRILLUM MV MEDIUM
1098	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1098.pdf	ARCHAEOGLOBUS INFECTUS MEDIUM
1099	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1099.pdf	DESULFOLUNA MEDIUM
11	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium11.pdf	MRS MEDIUM
110	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium110.pdf	CHOPPED MEAT MEDIUM WITH CARBOHYDRATES
1100	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1100.pdf	DESULFACINUM MEDIUM
1101	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1101.pdf	DESULFONATRONOSPIRA MEDIUM
1101a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1101a.pdf	DESULFONATRONUM ZHILINAE MEDIUM
1102	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1102.pdf	MEDIUM FOR ENHYDROMYXA SALSUGINOSA
1104	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1104.pdf	DETHIOBACTER MEDIUM
1105	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1105.pdf	NITRILIRUPTOR ALKALIPHILUS MEDIUM
1106	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1106.pdf	SPOROSALIBACTERIUM MEDIUM
1107	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1107.pdf	DIALISTER MEDIUM
1108	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1108.pdf	CYS MEDIUM
1108a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1108a.pdf	CYS MEDIUM WITH MODIFIED NACL CONCENTRATION
1109	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1109.pdf	BTT MEDIUM
110a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium110a.pdf	CMC MEDIUM (N2/CO2)
111	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium111.pdf	BEIJERINCKIA MEDIUM
1110	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1110.pdf	NAUTILIA PROFUNDICOLA MEDIUM
1111	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1111.pdf	CARBOXYMETHYL CELLULOSE MEDIUM
1112	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1112.pdf	CALDITERRIVIBRIO MEDIUM
1113	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1113.pdf	LEPTOSPIRA-MEDIUM
1114	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1114.pdf	THIOFABA MEDIUM
1115	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1115.pdf	CONGREGIBACTER (SYPHC) MEDIUM
1116	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1116.pdf	STEROIDOBACTER MEDIUM
1117	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1117.pdf	PYS MEDIUM
1118	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1118.pdf	MD1-MEDIUM
1119	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1119.pdf	GNYS MEDIUM
1120	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1120.pdf	PYSE MEDIUM
1121	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1121.pdf	MMJS MEDIUM (modified)
1122	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1122.pdf	MEDIUM K
1122a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1122a.pdf	METHYLOVERSATILIS THERMOTOLERANS MEDIUM
1123	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1123.pdf	YED MEDIUM, salted
1124	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1124.pdf	HD (1:10 diluted)
1125	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1125.pdf	HALOPHILIC MEDIUM
1126	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1126.pdf	TELMATOSPIRILLUM MEDIUM
1127	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1127.pdf	TPT 18 MEDIUM
1128	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1128.pdf	RHODOVULUM VISAKHUM MEDIUM
1129	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1129.pdf	PHOTOTROPHIC MEDIUM
113	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium113.pdf	THIOBACILLUS DENITRIFICANS MEDIUM
1130	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1130.pdf	RE-101/102 MEDIUM
1131	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1131.pdf	HYDROGENIVIRGA OKINAWENSIS MEDIUM
1132	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1132.pdf	LC 2
1133	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1133.pdf	ENRICHED CYTOPHAGA AGAR MEDIUM
1134	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1134.pdf	METHYLONATRUM MEDIUM
1135	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1135.pdf	HD-MEDIUM, 1:10 diluted, modified
1136	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1136.pdf	RHODOVULUM KHOLENSE MEDIUM
1137	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1137.pdf	RUBRITALEA MEDIUM
1138	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1138.pdf	HALOPIGER MEDIUM
1139	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1139.pdf	PYG MEDIUM (B)
113a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium113a.pdf	SULFURIMONAS HONGKONGENSIS MEDIUM
114	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium114.pdf	PARACOCCUS HALODENITRIFICANS MEDIUM
1140	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1140.pdf	PYG MEDIUM (E)
1141	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1141.pdf	THERMOGYMNOMONAS MEDIUM
1142	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1142.pdf	RHODOBLASTUS MEDIUM
1143	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1143.pdf	TY MEDIUM
1144	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1144.pdf	SINGULISPHAERA MEDIUM
1145	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1145.pdf	MS-MEDIUM (MODIFIED)
1146	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1146.pdf	VENENIVIBRIO STAGNISPUMANTIS MEDIUM
1147	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1147.pdf	RV5 MEDIUM
1148	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1148.pdf	TINDALLIA MEDIUM
1149	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1149.pdf	OCEANITHERMUS MEDIUM
115	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium115.pdf	VIBRIO NATRIEGENS MEDIUM
1150	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1150.pdf	HALOALKALIPHILIC GROWTH MEDIUM
1151	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1151.pdf	SDO MEDIUM
1152	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1152.pdf	PM MEDIUM
1153	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1153.pdf	R3 A MEDIUM
1154	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1154.pdf	GLUCOSE SULFIDE MEDIUM (Richard et al., 1985)
1155	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1155.pdf	SME MEDIUM
1156	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1156.pdf	HALOPHILIC METHANOTROPHIC BACTERIUM MEDIUM
1157	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1157.pdf	PYEM MEDIUM
1158	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1158.pdf	HALOMONAS SYMIRNIENSIS MEDIUM
1159	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium1159.pdf	GYM STREPTOMYCES MEDIUM 10% NACL
115a	DSMZ	https://www.dsmz.de/microorganisms/medium/pdf/DSMZ_Medium115a.pdf	REACTIVATION WITH LIQUID MEDIUM 115
